order_id,customer_id,amount,status,order_date,country_code,updated_at
1001,C001,250.00,COMPLETE,2024-01-05,US,2024-01-05 10:00:00
1002,C002,89.99,PENDING,2024-01-06,UK,2024-01-06 09:30:00
1003,C003,450.00,COMPLETE,2024-01-07,IN,2024-01-07 11:00:00
1004,C001,120.50,CANCELLED,2024-01-08,US,2024-01-08 14:00:00
1005,C004,999.00,COMPLETE,2024-01-09,DE,2024-01-09 08:45:00
1006,C002,60.00,FAILED,2024-01-10,UK,2024-01-10 16:20:00
1007,C005,300.75,COMPLETE,2024-01-11,BR,2024-01-11 12:00:00
1008,C003,180.00,PENDING,2024-01-12,IN,2024-01-12 10:30:00
1009,C006,540.25,COMPLETE,2024-01-13,US,2024-01-13 09:00:00
1010,C007,75.00,COMPLETE,2024-01-14,DE,2024-01-14 15:00:00
1011,C001,220.00,COMPLETE,2024-01-15,US,2024-01-15 11:30:00
1012,C008,430.00,CANCELLED,2024-01-16,UK,2024-01-16 13:00:00
1013,C001,100.00,COMPLETE,2024-01-17,US,2024-01-17 10:00:00
